,degree_all,degree_centrality_all,degree_in,degree_centrality_in,degree_out,degree_centrality_out,betweenness_centrality,eigenvector_centrality,cluster
Arid4a,28,0.05194805194805195,28,0.05194805194805195,0,0.0,0.0,0.03641427535651985,LPS_D03_MoM
Stat4,8,0.014842300556586271,0,0.0,8,0.014842300556586271,0.0,0.005539417522335085,LPS_D03_MoM
Parp12,19,0.03525046382189239,19,0.03525046382189239,0,0.0,0.0,0.023709192572823636,LPS_D03_MoM
Thyn1,22,0.04081632653061224,22,0.04081632653061224,0,0.0,0.0,0.030890011760268087,LPS_D03_MoM
Zfp143,20,0.03710575139146568,11,0.02040816326530612,9,0.016697588126159554,732.0,0.016471252421769226,LPS_D03_MoM
Ikzf3,3,0.0055658627087198514,0,0.0,3,0.0055658627087198514,0.0,0.005368938598298568,LPS_D03_MoM
Cdc5l,22,0.04081632653061224,20,0.03710575139146568,2,0.0037105751391465678,4.0,0.030664124965820855,LPS_D03_MoM
Zfx,25,0.04638218923933209,0,0.0,25,0.04638218923933209,0.0,0.01292610631501192,LPS_D03_MoM
Ear6,10,0.01855287569573284,10,0.01855287569573284,0,0.0,0.0,0.020928109166433742,LPS_D03_MoM
Arid1b,20,0.03710575139146568,20,0.03710575139146568,0,0.0,0.0,0.030583189591561,LPS_D03_MoM
Nfib,3,0.0055658627087198514,0,0.0,3,0.0055658627087198514,0.0,0.004302379186935651,LPS_D03_MoM
Sgo1,24,0.04452690166975881,24,0.04452690166975881,0,0.0,0.0,0.02012087498377957,LPS_D03_MoM
Paxbp1,26,0.04823747680890538,26,0.04823747680890538,0,0.0,0.0,0.0426100448982487,LPS_D03_MoM
C330027C09Rik,5,0.00927643784786642,5,0.00927643784786642,0,0.0,0.0,0.003803106341070627,LPS_D03_MoM
Baz2a,10,0.01855287569573284,10,0.01855287569573284,0,0.0,0.0,0.02557041031232536,LPS_D03_MoM
Sox4,39,0.07235621521335807,37,0.0686456400742115,2,0.0037105751391465678,110.0,0.04761692568268569,LPS_D03_MoM
Stat6,36,0.06679035250463822,27,0.05009276437847866,9,0.016697588126159554,155.0,0.02930428966300388,LPS_D03_MoM
Rad51,15,0.027829313543599257,15,0.027829313543599257,0,0.0,0.0,0.01601028264242513,LPS_D03_MoM
Dnajc2,44,0.08163265306122448,44,0.08163265306122448,0,0.0,0.0,0.046437420006451284,LPS_D03_MoM
Zfp800,34,0.06307977736549165,34,0.06307977736549165,0,0.0,0.0,0.05183223295326209,LPS_D03_MoM
Aff1,29,0.05380333951762523,29,0.05380333951762523,0,0.0,0.0,0.02974397947860528,LPS_D03_MoM
Zfp385a,33,0.061224489795918366,33,0.061224489795918366,0,0.0,0.0,0.04739781487551406,LPS_D03_MoM
Kif22,21,0.03896103896103896,21,0.03896103896103896,0,0.0,0.0,0.024104343261760905,LPS_D03_MoM
Sp9,11,0.02040816326530612,0,0.0,11,0.02040816326530612,0.0,0.011311684933897816,LPS_D03_MoM
Foxk1,18,0.03339517625231911,16,0.029684601113172542,2,0.0037105751391465678,9.0,0.021194194865891736,LPS_D03_MoM
Gatad1,35,0.06493506493506493,35,0.06493506493506493,0,0.0,0.0,0.03491152926615087,LPS_D03_MoM
Kpna2,23,0.04267161410018553,23,0.04267161410018553,0,0.0,0.0,0.02824974024528769,LPS_D03_MoM
Ubtf,31,0.0575139146567718,31,0.0575139146567718,0,0.0,0.0,0.039724184916207786,LPS_D03_MoM
Foxj3,15,0.027829313543599257,5,0.00927643784786642,10,0.01855287569573284,42.0,0.008814923640519322,LPS_D03_MoM
Capn15,25,0.04638218923933209,25,0.04638218923933209,0,0.0,0.0,0.030965648383221626,LPS_D03_MoM
Plk1,31,0.0575139146567718,31,0.0575139146567718,0,0.0,0.0,0.022616288721867134,LPS_D03_MoM
Khsrp,27,0.05009276437847866,27,0.05009276437847866,0,0.0,0.0,0.01869798041102687,LPS_D03_MoM
Kif20a,18,0.03339517625231911,18,0.03339517625231911,0,0.0,0.0,0.02234412793186674,LPS_D03_MoM
Kif4,22,0.04081632653061224,22,0.04081632653061224,0,0.0,0.0,0.014571710922581683,LPS_D03_MoM
Rfx1,22,0.04081632653061224,5,0.00927643784786642,17,0.03153988868274583,317.0,0.012092933336632736,LPS_D03_MoM
Kif2c,19,0.03525046382189239,19,0.03525046382189239,0,0.0,0.0,0.02184020680388999,LPS_D03_MoM
Hivep2,35,0.06493506493506493,27,0.05009276437847866,8,0.014842300556586271,351.0,0.03699120343638274,LPS_D03_MoM
Zfp277,4,0.0074211502782931356,4,0.0074211502782931356,0,0.0,0.0,0.004376820908941574,LPS_D03_MoM
Nr4a3,34,0.06307977736549165,23,0.04267161410018553,11,0.02040816326530612,812.0,0.02553602820181501,LPS_D03_MoM
Foxj2,21,0.03896103896103896,18,0.03339517625231911,3,0.0055658627087198514,0.0,0.017128766969285433,LPS_D03_MoM
Lyar,22,0.04081632653061224,22,0.04081632653061224,0,0.0,0.0,0.02388679332362522,LPS_D03_MoM
Arid2,29,0.05380333951762523,14,0.025974025974025976,15,0.027829313543599257,92.0,0.02943049628583561,LPS_D03_MoM
Satb1,15,0.027829313543599257,15,0.027829313543599257,0,0.0,0.0,0.014955394500303676,LPS_D03_MoM
Egr4,11,0.02040816326530612,0,0.0,11,0.02040816326530612,0.0,0.018618672504628273,LPS_D03_MoM
Ncor2,25,0.04638218923933209,25,0.04638218923933209,0,0.0,0.0,0.028504919113336774,LPS_D03_MoM
Nkx2-4,4,0.0074211502782931356,0,0.0,4,0.0074211502782931356,0.0,0.004931300739397061,LPS_D03_MoM
Elf5,6,0.011131725417439703,0,0.0,6,0.011131725417439703,0.0,0.007078938668211073,LPS_D03_MoM
Kmt2c,40,0.07421150278293136,40,0.07421150278293136,0,0.0,0.0,0.046957704349816824,LPS_D03_MoM
