,source,target,coef_mean,coef_abs,p,-logp
2216,Nfkb1,Cacna1g,5.3776766e-06,5.3776766e-06,0.002535921723440647,2.595864155996318
2217,Sp3,Cacna1g,-7.297902e-06,7.297902e-06,0.02353086771560345,1.6283620576454758
2218,Rest,Cacna1g,1.8458839e-05,1.8458839e-05,0.0002993149578418387,3.52387157936478
2219,Ybx1,Cacna1g,-9.615994e-06,9.615994e-06,0.000307629533973684,3.511971972426918
2220,Gabpa,Cacna1g,-8.992477e-06,8.992477e-06,0.0016367552220747162,2.7860162647853057
2221,Zeb1,Cacna1g,-1.5496973e-05,1.5496973e-05,0.00021325174157733485,3.6711074133640134
2223,Zbtb7a,Cacna1g,6.17774e-06,6.17774e-06,0.011875830345335738,1.9253360152365522
2224,Setdb1,Cacna1g,-4.4207336e-06,4.4207336e-06,0.04429482828590459,1.353646977569457
2225,Max,Cacna1g,4.6536297e-06,4.6536297e-06,0.03066722586483959,1.5133255082067179
2226,Rxra,Cacna1g,-4.9840146e-06,4.9840146e-06,0.0046328234096993295,2.334154253575124
2227,Nfya,Cacna1g,2.0088419e-05,2.0088419e-05,0.00010952383344583733,3.960491363858381
2228,Egr4,Cacna1g,2.1530204e-06,2.1530204e-06,0.0005416646700495872,3.2662694902442366
2229,Zfp148,Cacna1g,-8.265495e-06,8.265495e-06,0.0033607322201435145,2.4735660903115586
2230,Tfcp2,Cacna1g,3.0463211e-06,3.0463211e-06,0.046075520581934974,1.3365297492269672
2231,Stat2,Cacna1g,4.7429403e-05,4.7429403e-05,0.0004870088582956718,3.312463139249552
2232,Foxk2,Cacna1g,-3.083346e-06,3.083346e-06,0.04984392685685923,1.302387749954733
2235,Zbtb7b,Cacna1g,2.702152e-05,2.702152e-05,0.0012889386672726847,2.8897677475796897
2236,Ebf1,Cacna1g,9.900336e-07,9.900336e-07,0.0024717675646168872,2.606992371022701
2237,Hivep3,Cacna1g,2.0759018e-05,2.0759018e-05,0.0007572714380190964,3.1207484231365945
2238,Nrf1,Cacna1g,-2.4301195e-05,2.4301195e-05,4.558238095651831e-05,4.341202993563913
2241,Sp9,Cacna1g,1.601113e-06,1.601113e-06,0.00560423753084739,2.2514834657934486
2243,Bclaf1,Cacna1g,-1.036459e-05,1.036459e-05,0.0003935422050214402,3.405008685350594
2244,Nr3c1,Cacna1g,-6.392594e-06,6.392594e-06,0.0012893180445889055,2.889639939145855
2246,Sp1,Cacna1g,5.9267823e-06,5.9267823e-06,0.0041618268816314315,2.380715988976837
2247,Usf2,Cacna1g,-3.9618626e-06,3.9618626e-06,0.019404359580532216,1.7121006860974066
2248,Cebpb,Cacna1g,8.041355e-06,8.041355e-06,0.021899011244098224,1.6595754934213454
2249,Cebpz,Cacna1g,3.819859e-06,3.819859e-06,0.04533971933927665,1.3435211725593184
2251,Fos,Cacna1g,-2.0852716e-05,2.0852716e-05,0.000373048074555045,3.4282351972298772
2254,Smad1,Cacna1g,3.6988733e-06,3.6988733e-06,0.018183586585673768,1.740320451106316
2255,Zfp281,Cacna1g,4.7731114e-06,4.7731114e-06,0.013648485206164695,1.8649155466532332
2256,Arid2,Cacna1g,-6.690274e-06,6.690274e-06,0.0013746718093508971,2.861800973397801
2257,E2f4,Cacna1g,7.1505106e-06,7.1505106e-06,0.025146623403259166,1.5995203221699494
2258,Stat3,Cacna1g,-1.7151579e-05,1.7151579e-05,0.0008281891519063166,3.081870462433111
2259,Usf1,Cacna1g,2.1228414e-05,2.1228414e-05,0.0007310026932554364,3.136081022954835
2260,Atf3,Cacna1g,-7.335668e-06,7.335668e-06,0.0051242745884179704,2.2903676062810696
2261,Ctcf,Cacna1g,2.6683832e-05,2.6683832e-05,0.0038307310167437643,2.416718341894533
2263,Egr2,Cacna1g,8.029078e-06,8.029078e-06,0.001021799664076647,2.990634244430896
2268,Nfyc,Cacna1g,-1.031175e-05,1.031175e-05,0.008577713821222424,2.0666284472479357
2269,Zbtb14,Camta2,0.018836629,0.018836629,1.586317545382601e-10,9.799609872249547
